_id,State_Name,Assembly_No,Constituency_No,Year,month,DelimID,Poll_No,Position,Candidate,Sex,Party,Votes,Age,Candidate_Type,Valid_Votes,Electors,Constituency_Name,Constituency_Type,District_Name,Sub_Region,N_Cand,Turnout_Percentage,Vote_Share_Percentage,Deposit_Lost,Margin,Margin_Percentage,ENOP,pid,Party_Type_TCPD,Party_ID,last_poll,Contested,Last_Party,Last_Party_ID,Last_Constituency_Name,Same_Constituency,Same_Party,No_Terms,Turncoat,Incumbent,Recontest,MyNeta_education,TCPD_Prof_Main,TCPD_Prof_Main_Desc,TCPD_Prof_Second,TCPD_Prof_Second_Desc,Election_Type
1,Delhi,10,1,2015,2,4,0,1,SHARAD KUMAR,M,AAAP,96143,40,GEN,160316,241032,NERELA,GEN,NORTH WEST DELHI,NORTH WEST DELHI,8,66.51,59.97,no,40292,25.13,2.08,AEDL101587,State-based Party,13,TRUE,2,BSP,16651,NERELA,TRUE,FALSE,1,TRUE,FALSE,FALSE,"","","","","",State Assembly Election (AE)
2,Delhi,10,1,2015,2,4,0,2,NEEL DAMAN KHATRI,M,BJP,55851,44,GEN,160316,241032,NERELA,GEN,NORTH WEST DELHI,NORTH WEST DELHI,8,66.51,34.84,no,51208,31.94,2.08,AEDL100776,National Party,1605,TRUE,2,BJP,1605,NERELA,TRUE,TRUE,1,FALSE,TRUE,TRUE,10th Pass,Business,"","","",State Assembly Election (AE)
3,Delhi,10,1,2015,2,4,0,3,PRAVEEN KUMAR BHUGRA,M,INC,4643,46,GEN,160316,241032,NERELA,GEN,NORTH WEST DELHI,NORTH WEST DELHI,8,66.51,2.9,yes,2981,1.86,2.08,AEDL100099,National Party,3482,TRUE,1,"",,"","","",0,FALSE,FALSE,FALSE,8th Pass,Business,"",Social Work,"",State Assembly Election (AE)
4,Delhi,10,1,2015,2,4,0,4,ROOPESH BHARDWAJ,M,BSP,1662,40,GEN,160316,241032,NERELA,GEN,NORTH WEST DELHI,NORTH WEST DELHI,8,66.51,1.04,yes,895,0.56,2.08,AEDL100100,State-based Party (Other State),16651,TRUE,1,"",,"","","",0,FALSE,FALSE,FALSE,10th Pass,Business,Trader,Liberal Profession or Professional,Consultant,State Assembly Election (AE)
5,Delhi,10,1,2015,2,4,0,5,None of the Above,"",NOTA,767,,"",160316,241032,NERELA,GEN,NORTH WEST DELHI,NORTH WEST DELHI,8,66.51,0.48,"",289,0.18,2.08,"",NOTA,5897,TRUE,,"",,"","","",,"","","","","","","","",State Assembly Election (AE)
6,Delhi,10,1,2015,2,4,0,6,BRIJ MOHAN,M,SHS,478,37,GEN,160316,241032,NERELA,GEN,NORTH WEST DELHI,NORTH WEST DELHI,8,66.51,0.3,yes,115,0.07,2.08,AEDL100101,State-based Party (Other State),18691,TRUE,1,"",,"","","",0,FALSE,FALSE,FALSE,8th Pass,Small Business or Self-employed,Self-employed,"","",State Assembly Election (AE)
7,Delhi,10,1,2015,2,4,0,7,SURENDER,M,CPI(ML)(L),363,48,GEN,160316,241032,NERELA,GEN,NORTH WEST DELHI,NORTH WEST DELHI,8,66.51,0.23,yes,145,0.09,2.08,AEDL100102,Local Party,2472,TRUE,1,"",,"","","",0,FALSE,FALSE,FALSE,"","","","","",State Assembly Election (AE)
8,Delhi,10,1,2015,2,4,0,8,MANOJ KUMAR,M,IND,218,42,GEN,160316,241032,NERELA,GEN,NORTH WEST DELHI,NORTH WEST DELHI,8,66.51,0.14,yes,27,0.02,2.08,AEDL100103,Independents,10809,TRUE,1,"",,"","","",0,FALSE,FALSE,FALSE,12th Pass,Salaried Work or Employed,"","","",State Assembly Election (AE)
9,Delhi,10,1,2015,2,4,0,9,AJAY MUDGIL,M,IND,191,30,GEN,160316,241032,NERELA,GEN,NORTH WEST DELHI,NORTH WEST DELHI,8,66.51,0.12,yes,0,0,2.08,AEDL100782,Independents,10809,TRUE,2,IND,10809,NERELA,TRUE,TRUE,0,FALSE,FALSE,TRUE,Post Graduate,Business,"","","",State Assembly Election (AE)
10,Delhi,10,2,2015,2,4,0,1,SANJEEV JHA,M,AAAP,124724,35,GEN,195427,288420,BURARI,GEN,NORTH EAST DELHI,NORTH EAST DELHI,18,67.76,63.82,no,67950,34.77,2.04,AEDL100790,State-based Party,13,TRUE,2,AAAP,13,BURARI,TRUE,TRUE,2,FALSE,TRUE,TRUE,"","","","","",State Assembly Election (AE)
11,Delhi,10,2,2015,2,4,0,2,GOPAL JHA,M,BJP,56774,46,GEN,195427,288420,BURARI,GEN,NORTH EAST DELHI,NORTH EAST DELHI,18,67.76,29.05,no,50024,25.6,2.04,AEDL100106,National Party,1605,TRUE,1,"",,"","","",0,FALSE,FALSE,FALSE,Post Graduate,Education,Home Teacher or Tuition,Social Work,"",State Assembly Election (AE)
12,Delhi,10,2,2015,2,4,0,3,J S CHAUHAN,M,INC,6750,66,GEN,195427,288420,BURARI,GEN,NORTH EAST DELHI,NORTH EAST DELHI,18,67.76,3.45,yes,4407,2.26,2.04,AEDL103986,National Party,3482,TRUE,3,INC,3482,BHALSWA JAHANGIRPUR,FALSE,TRUE,2,FALSE,FALSE,FALSE,Graduate Professional,Liberal Profession or Professional,Lawyer,"","",State Assembly Election (AE)
13,Delhi,10,2,2015,2,4,0,4,RAMBIR,M,BSP,2343,42,SC,195427,288420,BURARI,GEN,NORTH EAST DELHI,NORTH EAST DELHI,18,67.76,1.2,yes,1413,0.72,2.04,AEDL100108,State-based Party (Other State),16651,TRUE,1,"",,"","","",0,FALSE,FALSE,FALSE,Graduate Professional,Liberal Profession or Professional,Lawyer,"","",State Assembly Election (AE)
14,Delhi,10,2,2015,2,4,0,5,MANAGER CHAURASIYA,M,SUCI,930,45,GEN,195427,288420,BURARI,GEN,NORTH EAST DELHI,NORTH EAST DELHI,18,67.76,0.48,yes,369,0.19,2.04,AEDL100802,State-based Party (Other State),8082,TRUE,2,SUCI,8082,BURARI,TRUE,TRUE,0,FALSE,FALSE,TRUE,12th Pass,Social Work,"","","",State Assembly Election (AE)
15,Delhi,10,2,2015,2,4,0,6,DHARAM PAL SINGH,M,SHS,561,49,GEN,195427,288420,BURARI,GEN,NORTH EAST DELHI,NORTH EAST DELHI,18,67.76,0.29,yes,21,0.01,2.04,AEDL100110,State-based Party (Other State),18691,TRUE,1,"",,"","","",0,FALSE,FALSE,FALSE,Illiterate,Business,Unspecified,"","",State Assembly Election (AE)
16,Delhi,10,2,2015,2,4,0,7,KHADAK LAL,M,IND,540,63,GEN,195427,288420,BURARI,GEN,NORTH EAST DELHI,NORTH EAST DELHI,18,67.76,0.28,yes,8,0,2.04,AEDL100111,Independents,10809,TRUE,1,"",,"","","",0,FALSE,FALSE,FALSE,8th Pass,Small Business or Self-employed,Shop Keeper,"","",State Assembly Election (AE)
17,Delhi,10,2,2015,2,4,0,8,RICHA MUNDRA,F,SASAPT,532,37,GEN,195427,288420,BURARI,GEN,NORTH EAST DELHI,NORTH EAST DELHI,18,67.76,0.27,yes,97,0.05,2.04,AEDL100112,Local Party,7603,TRUE,1,"",,"","","",0,FALSE,FALSE,FALSE,Post Graduate,Education,Principal or Administrator,"","",State Assembly Election (AE)
18,Delhi,10,2,2015,2,4,0,9,NAFE SINGH RAJPUT,M,IND,435,41,GEN,195427,288420,BURARI,GEN,NORTH EAST DELHI,NORTH EAST DELHI,18,67.76,0.22,yes,22,0.01,2.04,AEDL103149,Independents,10809,TRUE,3,IND,10809,BURARI,TRUE,TRUE,0,FALSE,FALSE,TRUE,12th Pass,Salaried Work or Employed,Accountant,"","",State Assembly Election (AE)
19,Delhi,10,2,2015,2,4,0,10,None of the Above,"",NOTA,413,,"",195427,288420,BURARI,GEN,NORTH EAST DELHI,NORTH EAST DELHI,18,67.76,0.21,"",31,0.02,2.04,"",NOTA,5897,TRUE,,"",,"","","",,"","","","","","","","",State Assembly Election (AE)
20,Delhi,10,2,2015,2,4,0,11,PREM SHANKAR SHARMA,M,ABSPAR,382,51,GEN,195427,288420,BURARI,GEN,NORTH EAST DELHI,NORTH EAST DELHI,18,67.76,0.2,yes,132,0.07,2.04,AEDL100808,Local Party,435,TRUE,2,ABSPAR,435,BURARI,TRUE,TRUE,0,FALSE,FALSE,TRUE,"","","","","",State Assembly Election (AE)
21,Delhi,10,2,2015,2,4,0,12,MADHU DIWAKAR,F,CPM,250,45,GEN,195427,288420,BURARI,GEN,NORTH EAST DELHI,NORTH EAST DELHI,18,67.76,0.13,yes,92,0.05,2.04,AEDL100115,National Party,14635,TRUE,1,"",,"","","",0,FALSE,FALSE,FALSE,Illiterate,Other,"","","",State Assembly Election (AE)
22,Delhi,10,2,2015,2,4,0,13,RANJAN KUMAR SINGH,M,BAJD,158,29,GEN,195427,288420,BURARI,GEN,NORTH EAST DELHI,NORTH EAST DELHI,18,67.76,0.08,yes,28,0.01,2.04,AEDL100116,Local Party,1640,TRUE,1,"",,"","","",0,FALSE,FALSE,FALSE,"","","","","",State Assembly Election (AE)
